ID,match_number,season,date,team1,team2,winner,venue,city,toss_winner,toss_decision,player_of_match
1082591,1082591,2017,2017/04/05,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Royal Challengers Bangalore,field,Yuvraj Singh
1082592,1082592,2017,2017/04/06,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field,SPD Smith
1082593,1082593,2017,2017/04/07,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Rajkot,Kolkata Knight Riders,field,CA Lynn
1082594,1082594,2017,2017/04/08,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,Indore,Kings XI Punjab,field,GJ Maxwell
1082595,1082595,2017,2017/04/08,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,bat,KM Jadhav
1082596,1082596,2017,2017/04/09,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,field,Rashid Khan
1082597,1082597,2017,2017/04/09,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai,Mumbai Indians,field,N Rana
1082598,1082598,2017,2017/04/10,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,Indore,Royal Challengers Bangalore,bat,AR Patel
1082599,1082599,2017,2017/04/11,Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field,SV Samson
1082600,1082600,2017,2017/04/12,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai,Mumbai Indians,field,JJ Bumrah
1082601,1082601,2017,2017/04/13,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata,Kolkata Knight Riders,field,SP Narine
1082602,1082602,2017,2017/04/14,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,field,KA Pollard
1082603,1082603,2017,2017/04/14,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,AJ Tye
1082604,1082604,2017,2017/04/15,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata,Sunrisers Hyderabad,field,RV Uthappa
1082605,1082605,2017,2017/04/15,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,CJ Anderson
1082606,1082606,2017,2017/04/16,Mumbai Indians,Gujarat Lions,Mumbai Indians,Wankhede Stadium,Mumbai,Mumbai Indians,field,N Rana
1082607,1082607,2017,2017/04/16,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,BA Stokes
1082608,1082608,2017,2017/04/17,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,NM Coulter-Nile
1082609,1082609,2017,2017/04/17,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kings XI Punjab,field,B Kumar
1082610,1082610,2017,2017/04/18,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,CH Gayle
1082611,1082611,2017,2017/04/19,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,KS Williamson
1082612,1082612,2017,2017/04/20,Kings XI Punjab,Mumbai Indians,Mumbai Indians,Holkar Cricket Stadium,Indore,Mumbai Indians,field,JC Buttler
